timestamp,rfid_tag,gps_latitude,gps_longitude,temperature_c,blockchain_hash
2026-05-06 11:53:01.754200,RFID-6EB984DE3B,-6.685497,-20.575427,5.8,51613904295e4953b47c4954f1296802
2026-05-06 13:49:01.754497,RFID-CB4A2A0BE5,-69.771029,-103.442652,-4.6,7a16a2a699c74a9293d2ac677ee81707
2026-05-06 17:39:01.754688,RFID-A9017FB36E,45.736892,82.436115,18.2,ad184fd8051c463ea13e7bece04736cc
2026-05-06 18:50:01.754863,RFID-4910654E6A,-77.739546,-138.721774,9.0,965ccdeb8d404a37b64c74619113df13
2026-05-06 18:09:01.755005,RFID-8BD4FE269E,44.630305,122.280234,24.6,496c0317d0dc41db86acfb22ed5fd364
2026-05-06 18:37:01.755167,RFID-B4E2E37580,-81.887259,84.093989,3.1,8277ab759fdf4756811ab6d1f26fa58c
2026-05-06 20:08:01.755307,RFID-BA95203506,61.406739,-13.040886,-3.4,992673cead29463ba740502d7932aeba
2026-05-06 15:41:01.755467,RFID-9FEF6A8EA4,-85.435535,87.665031,0.7,d517b6f2bfee4e8cb1f8c5e333e1429b
2026-05-06 16:50:01.755629,RFID-7C8189FEB3,36.200424,-156.625921,4.9,5b0a4ceea5134f0a932ab53a60eaa1de
2026-05-06 02:43:01.755792,RFID-CCFEE17D72,-62.265756,119.209636,10.7,59444ca4e023431b8b058c5f289a8711
2026-05-06 07:41:01.755976,RFID-DC187D61D4,-72.683641,-166.743228,11.8,d0166df85bc64c448ff31381724e93e0
2026-05-06 12:56:01.756144,RFID-723C512957,-30.467059,132.781245,15.5,1b49a63f772b469e877da4ebad984797
2026-05-06 05:36:01.756329,RFID-4A658DFC17,-83.383298,-173.574332,4.8,12a98ccef4fa44b693d9bd0b153dd7a7
2026-05-06 13:28:01.756507,RFID-136D41ED90,79.633781,136.823058,2.3,a6c2fc01596245a38c05341b008ae417
2026-05-06 13:43:01.756668,RFID-90708AA96C,-50.191088,-67.324834,4.0,c42129164cbd49ad9602b0bfb3cf9cad
2026-05-06 07:33:01.756826,RFID-7356B022DF,-7.232219,-94.395832,-2.5,40a8000018a64c478b461da16f8027e6
2026-05-06 00:21:01.756981,RFID-A0CCCDBE1E,-79.345303,-42.865631,6.2,0ece93f891b44e4fba173238b229f02d
